Date,Case,Description,Outcome,Cause of Action,Civil or Criminal,Token,Project Name,Blockchain, Amount ,Securities Act of 1933,Securities Exchange Act of 1934,SEC Office
9/27/18,"SEC v. 1pool Ltd. a.k.a. 1Broker, et al.","The Commission charged 1Broker and its CEO with registration violations in connection with their overseas trading platform that exclusively used bitcoins and offered and sold to U.S. residents Contracts for Difference that track U.S.-listed securities and are security-based swaps. The Commission also alleged that 1Broker and its CEO failed to register the offer and sale of the products, failed to transact these products on a registered national exchange, performed no know-your-customer (KYC) inquiries, and acted as an unregistered dealer.",Ongoing,Unregistered Exchange,Civil,N/A,1pool Ltd.,Bitcoin, N/A ,1,1,Fort Worth
9/11/18,"TokenLot LLC, Lenny Kugel, and Eli Lewitt",The Commission filed settled administrative proceedings against a Michigan-based company and self-described “ICO Superstore” and its two owners for operating as unregistered broker-dealers in digital tokens sold in connection with ICOs and secondary market activities.,Settlement,Unregistered Exchange,Civil,N/A,TokenLot LLC,N/A," $516,000.00 ",1,1,"Washington, D.C."
9/11/18,"Crypto Asset Management, LP and Timothy Enneking","The Commission filed settled administrative proceedings against a California-based hedge fund manager and its sole principal for offering a fund formed to invest in digital assets that operated as an unregistered investment company while falsely marketing it as the ""first regulated crypto asset fund in the United States.""",Settlement,Unregistered Offering,Civil,N/A,Crypto Asset Management LP,N/A," $3,600,000.00 ",1,0,"Washington, D.C."
8/14/18,Tomahawk Exploration LLC and David T. Laurance,The Commission obtained officer-and-director and penny stock bars in a settlement with the founder of a company responsible for a fraudulent ICO to fund oil exploration and drilling.,Settlement,Unregistered Offering and Fraud,Civil,TOM,Tomahawk Exploration LLC,N/A," $5,000,000.00 ",1,1,San Francisco
7/2/18,"SEC v. Jesky, et al.","The Commission filed a settled district court action against two individuals who illegally sold restricted shares in UBI Blockchain Internet Ltd. at high market prices instead of the fixed price under a registration statement. The Commission previously suspended trading in the stock. The two individuals agreed to return approximately $1.4 million in ill-gotten gains and more than $188,000 in penalties.",Ongoing,Unregistered Offering,Civil,N/A,UBI Blockchain Internet Ltd.,N/A," $1,400,000.00 ",1,0,New York
5/22/18,"SEC v. Titanium Blockchain Infrastructure Services Inc., et al.",The Commission obtained a court order halting an alleged ongoing fraud involving an ICO. The court also approved an emergency asset freeze and the appointment of a receiver.,Ongoing,Unregistered Offering,Civil,BAR,Titanium Blockchain Infrastructure Services Inc.,N/A," $21,000,000.00 ",1,1,Los Angeles
4/20/18,"SEC v. Sharma, et al.","The Commission filed a district court action against two co-founders of Centra Tech, Inc., a purported financial services start-up, charging them with orchestrating an allegedly fraudulent ICO.  The Commission later filed an amended complaint against a third member of Centra Tech, Inc., charging him with orchestrating the fraudulent ICO.",Ongoing,Unregistered Offering and Fraud,Civil and Criminal,CTR Token,Centra Tech. Inc.,Ethereum," $32,000,000.00 ",1,1,New York
4/2/18,"SEC v. Sharma, et al.","The Commission filed a district court action against two co-founders of Centra Tech, Inc., a purported financial services start-up, charging them with orchestrating an allegedly fraudulent ICO.  The Commission later filed an amended complaint against a third member of Centra Tech, Inc., charging him with orchestrating the fraudulent ICO.",Ongoing,Unregistered Offering and Fraud,Civil and Criminal,CTR Token,Centra Tech. Inc.,Ethereum," $32,000,000.00 ",1,1,New York
2/21/18,"SEC v. Montroll, et al.",The Commission filed a district court action against a former bitcoin-denominated platform and its operator for allegedly operating an unregistered securities exchange and defrauding users of that exchange. The SEC also charged the operator with making alleged false and misleading statements in connection with an unregistered offering of securities.,Ongoing,Unregistered Offering and Exchange,Civil and Criminal,N/A,BitFunder,Bitcoin," $501,728.00 ",1,1,New York
1/25/18,"SEC v. AriseBank, et al.",The Commission filed a district court action and obtained an emergency asset freeze against an allegedly fraudulent ICO that claimed to run the world’s first “decentralized bank.”  The Commission later settled with two former executives behind the allegedly fraudulent ICO in December 2018.,Ongoing,Unregistered Offering,Civil,AriseCoin,AriseBank,N/A," $600,000.00 ",1,1,Fort Worth
12/11/18,Jared Rice Sr. and Stanley Ford,The Commission filed a district court action and obtained an emergency asset freeze against an allegedly fraudulent ICO that claimed to run the world’s first “decentralized bank.”  The Commission later settled with two former executives behind the allegedly fraudulent ICO in December 2018.,Ongoing,Unregistered Offering and Fraud,Criminal,AriseCoin,AriseBank,N/A," $2,700,000.00 ",1,1,Fort Worth
12/11/17,"In re Munchee, Inc",The Commission filed a settled cease-and-desist order against a California-based company selling digital tokens in an unregistered offering to investors to raise capital for its blockchain-based food review service.,Settlement,Unregistered Offering,Civil,Mun,Munchee Inc.,Ethereum," $15,000,000.00 ",1,0,"Washington, D.C."
12/1/17,"SEC v. PlexCorps, et al.","The Commission filed a district court action and obtained an emergency asset freeze against a recidivist Quebec securities law violator, Dominic Lacroix, and his company, PlexCorps.",Ongoing,Unregistered Offering and Fraud,Civil,PlexCoin,PlexCorps,Ethereum," $15,000,000.00 ",1,1,New York
9/29/17,"SEC v. REcoin Group Foundation, LLC, et al.",The Commission charged Maksim Zaslavskiy and his two companies for allegedly defrauding investors in a pair of so-called initial coin offerings (ICOs) purportedly backed by investments in real estate and diamonds (Recoin Group Foundation and Diamond Reserve Club).,Ongoing,Unregistered Offering and Fraud,Civil,Recoin,Recoing Group Foundation and Diamond Reserve Club,Ethereum," $300,000.00 ",1,1,New York
7/25/17,Report of Investigation Pursuant to Section 21(a) of the Securities Exchange Act of 1934: The DAO,"The Commission issued a Report of Investigation concerning the application of the U.S. federal securities laws to the offer and sale of DAO Tokens, which were virtual tokens created and distributed on a blockchain by an entity called “The DAO.”",Settlement,Unregistered Offering,Civil,DAO,The DAO,Ethereum," $150,000,000.00 ",1,1,New York
6/30/17,"SEC v. Renwick Haddow, et al.","The Commission filed a district court action and obtained an emergency asset freeze against Renwick Haddow, the founder of a purported Bitcoin holding-and-trading platform and a chain of co-working spaces, alleging that he defrauded investors in both companies while also hiding his connection given his past disciplinary history with U.K. regulators.",Ongoing,Fraud,Civil and Criminal,N/A,Store Inc. and Bar Works Inc.,Bitcoin," $37,000,000.00 ",1,1,Southern New York
7/11/16,"In re Bitcoin Investment Trust and SecondMarket, Inc.","The Commission filed a settled administrative proceeding against SecondMarket, Inc., a New York broker-dealer registered with the Commission, and Bitcoin Investment Trust (BIT), a Delaware trust whose sole assets are bitcoins. Each agreed to settle charges that they respectively violated Rules 101 and 102 of Regulation M under the Securities Exchange Act of 1934 in connection with their purchases of BIT shares during a continuous distribution.",Settlement,Unregistered Offering,Civil,N/A,"SecondMarket, Inc. and Bitcoin Investment Trust",N/A," $105,000.00 ",1,0,New York
12/1/15,"SEC v. Garza, et al.",The Commission charged Garza and his two bitcoin mining companies with conducting an alleged Ponzi scheme by offering shares – called “Hashlets” – in a bitcoin mining operation that did not have enough computing power for the mining they promised to conduct.,Ongoing,Unregistered Offering,Civil,N/A,GAW Miners and ZenMiner,N/A," $20,000,000.00 ",1,1,Boston
6/17/15,"In re Sand Hill Exchange, et al.","In June 2015, the SEC filed a settled administrative action against 2 entrepreneurs who offered and sold security-based swaps through a website called Sand Hill exchange and sought people to fund accounts at Sand Hill using dollars or bitcoins.",Settlement,Unregistered Exchange,Civil,N/A,Sand Hill Exchange,N/A," $20,000.00 ",1,1,"Washington, D.C."
12/8/14,"In re BTC Trading, Corp. and Ethan Burnside","The Commission brought a settled administrative proceeding against Burnside, a video game programmer and bitcoin hobbyist, for (a) operating two online venues for trading securities – BTC Virtual Stock Exchange and LTC-Global Virtual Stock Exchange – using bitcoin and litecoin without registering the sites as broker-dealers or stock exchanges, and (b) conducting two unregistered offerings, one in LTC-Global itself, and another in a litecoin mining venture he owned and operated.",Settlement,Unregistered Exchange,Civil,N/A,BTC Trading Corp.,Bitcoin," $68,000.00 ",1,1,New York
6/3/14,In re Erik T. Voorhees,"The Commission charged Voorhees, a Bitcoin entrepreneur with the offer and sale of unregistered securities in SatoshiDICE, a well-known bitcoin betting game, and FeedZeBirds, a social media marketing venture.",Settlement,Unregistered Offering,Civil,N/A,FeedZeBirds and SatoshiDICE,Bitcoin," $50,843.92 ",1,0,New York
7/23/13,SEC v. Shavers,"The Commission charged Shavers and his company with defrauding investors in a bitcoin-denominated Ponzi scheme, raising more than 700,000 bitcoins in principal investments from BTCST investors, and falsely promising of up to 7% weekly returns based on BTCST’s purported bitcoin market arbitrage activity.",Ongoing,Unregistered Offering,Civil,N/A,Bitcoin Savings and Trust,Bitcoin," $4,500,000.00 ",1,1,"Washington, D.C."
